Long,Lat,Country
51.1839,25.3548,Qatar
24.9668,45.9432,Romania
105.318756,61.52401,Russia
29.8739,-1.9403,Rwanda
-62.782998,17.357822,Saint Kitts and Nevis
-60.9789,13.9094,Saint Lucia
-61.2872,12.9843,Saint Vincent and the Grenadines
-172.1046,-13.759,Samoa
12.4578,43.9424,San Marino
6.6131,0.1864,Sao Tome and Principe
45.079162,23.885942,Saudi Arabia
-14.4524,14.4974,Senegal
21.0059,44.0165,Serbia
55.492,-4.6796,Seychelles
-11.779889,8.460555,Sierra Leone
103.8333,1.2833,Singapore
19.699,48.669,Slovakia
14.9955,46.1512,Slovenia
160.1562,-9.6457,Solomon Islands
46.199616,5.152149,Somalia
22.9375,-30.5595,South Africa
31.307,6.877,South Sudan
-3.74922,40.463667,Spain
80.771797,7.873054,Sri Lanka
30.2176,12.8628,Sudan
-56.0278,3.9193,Suriname
18.643501,60.128161,Sweden
8.2275,46.8182,Switzerland
38.996815,34.802075,Syria
121.0,23.7,Taiwan*
71.2761,38.861,Tajikistan
34.888822,-6.369028,Tanzania
100.992541,15.870032,Thailand
125.727539,-8.874217,Timor-Leste
0.8248,8.6195,Togo
-61.2225,10.6918,Trinidad and Tobago
9.537499,33.886917,Tunisia
35.2433,38.9637,Turkey
-100.0,40.0,US
32.290275,1.373333,Uganda
31.1656,48.3794,Ukraine
53.847818,23.424076,United Arab Emirates
-63.0686,18.2206,United Kingdom
-64.7505,32.3078,United Kingdom
-64.64,18.4207,United Kingdom
-81.2546,19.3133,United Kingdom
-2.3644,49.3723,United Kingdom
-59.5236,-51.7963,United Kingdom
-5.3536,36.1408,United Kingdom
-4.5481,54.2361,United Kingdom
-62.187366,16.742498,United Kingdom
-14.3559,-7.9467,United Kingdom
-71.7979,21.694,United Kingdom
-3.436,55.3781,United Kingdom
-55.7658,-32.5228,Uruguay
64.585262,41.377491,Uzbekistan
166.9592,-15.3767,Vanuatu
-66.5897,6.4238,Venezuela
108.277199,14.058324,Vietnam
35.2332,31.9522,West Bank and Gaza
48.516388,15.552727,Yemen
27.849332,-13.133897,Zambia
29.154857,-19.015438,Zimbabwe
